Game,Start Sender Amount,Start Receiver Amount,Amount Sent By Sender,Amount Sent By Receiver,Final Sender Amount,Final Receiver Amount,Sender Promise,Receiver Promise
2,30,200,5,0,25,210,"I will send back a significant portion of my doubled amount this round as a gesture of strategic cooperation, hoping that our mutual gains will lead us to the highest winnings by the end of the game. However, I expect reciprocation in future rounds as well.","I'll send a strategic amount back, hoping that our cooperation will help us both maximize our winnings and secure our positions for the upcoming rounds. Let's work together towards mutual success in this game."
2,25,210,5,0,20,220,"""I will send back a strategic amount this round, aiming to ensure mutual benefits and maximize our combined winnings as we move towards the final stages of the game.""","I will strategically consider sending a portion of the doubled amount back in the next rounds, aiming for mutual benefits and maximizing our combined winnings by the end of the game, but only if you reciprocate in future rounds as well."
2,20,220,16,27,31,225,"I will send back a significant portion of the doubled amount in the next round, hoping that our strategic cooperation will lead to mutual gains and potentially secure the highest winnings for both of us as we approach the final stages of the game. Let's work together towards our success.","""I will return a significant portion of my doubled amount in the next round as a gesture of strategic cooperation, hoping our mutual gains will lead us to the highest possible winnings by the end of the game."""
2,31,225,15,20,36,235,"""I'll send a significant portion of my doubled amount back in the next rounds as a sign of our mutual trust and dedication to maximizing our combined winnings.""","""I will send back a generous portion of my doubled amount in the upcoming rounds as a sign of our strategic cooperation and mutual trust, hoping to maximize our combined winnings in these final stages of the game."""
2,36,235,18,15,33,256,"""I will send you as much as I possibly can in this round, trusting that this act of generosity will lead to our mutual advantage and the highest possible winnings in the final round.""",I will strategically consider sending a substantial portion of my doubled amount in the final round as a testament to our growing trust and hope for mutual benefits that could lead us to the highest possible winnings in this game.
2,33,256,26,19,26,289,"""I will strategically send 10 dollars now, hoping that our mutually beneficial cooperation in this game will lead us to maximize our winnings in the remaining rounds.""",I will strategically send a generous amount of my doubled funds back to ensure our mutual advantage and maximize our winnings in the final round. Let's work together towards success!
3,100,0,50,50,100,50,Send me $50 and I'll send back as much as I can in the next round.,"I will consider sending a significant portion of my doubled amount back to you in the next round as a token of gratitude, but I need to ensure I have enough for future rounds to secure a win."
3,100,50,30,20,90,90,I will aim to maximize my winnings by strategically sending and receiving money in each round to ensure a better chance at having more money by the end of the 8 rounds.,"I'll consider returning some money in the next round, but I'm also focused on maximizing my own winnings over the course of the 8 rounds. Let's make this interesting!"
3,90,90,30,15,75,135,"""I will send a strategic amount of money in this round to ensure I have enough for future rounds while also incentivizing you to return a significant portion back, as we both aim for the most winnings at the end.""",I will consider sending back a significant amount next round to encourage our mutual goal of maximizing winnings by the end of all rounds.
3,75,135,60,5,20,250,"I'll be sending a sizeable portion of my doubled amount back to you in the next round, as I believe it will benefit us both in securing a substantial win by the end of these rounds.","I will consider sending back a significant amount in the next round to boost our chances of winning, but I also need to ensure I have enough for future rounds as well."
3,20,250,12,6,14,268,"I will send a significant portion of my doubled amount in the next round, hoping for a mutual boost in our chances of winning over the remaining 5 rounds. However, I also aim to have enough for future rounds to secure a win as well. Let's work together!","""I will aim to maximize my winnings by sending back a strategic amount of your doubled money in the next round, while ensuring I have enough for future rounds as well."""
3,14,268,10,10,14,278,"I will send a substantial portion of my doubled amount next round in the hope that you will return an equally strategic amount, increasing our chances of winning while ensuring we both have enough for future rounds.","I will strategically send back a significant portion of your doubled amount next round, aiming for a mutual boost in our chances of winning while ensuring we both have enough for future rounds as well."
3,14,278,7,14,21,278,"""I'll send a substantial amount in this round to boost our chances of winning, but I'll also need to conserve some funds for future rounds as well.""","I will carefully consider sending a substantial portion of this doubled amount back to you in the next round, aiming to boost our chances of winning while also ensuring we both have enough for future rounds."
3,21,278,20,14,15,304,"I will send a substantial amount next round, hoping to maximize our chances of winning while preserving enough for the final round as well. However, I encourage you to consider sending back an even larger portion to significantly boost our potential winnings.","I will consider returning a larger portion of your doubled amount in the next round, as I believe this strategy could significantly boost our chances of winning in the final two rounds while still ensuring we have enough for future games."
3,15,304,3,2,14,308,"I will send back a strategic amount in the next round, hoping it will boost our chances of winning while also ensuring we both have enough for the final round. However, I am not certain about the exact amount I will return yet.","""I will return a significant portion of your doubled amount in this round, aiming for a mutual boost in our chances of winning while ensuring we both have enough for the final round."""
3,14,308,14,5,5,331,"""I will send all of my remaining 14 dollars to maximize our chances for the final round, as I believe this strategy could significantly boost our overall winnings.""","I will return a significant portion of the doubled amount, hoping it will significantly boost our chances of winning while ensuring we both have enough for the final round as well. Let's work together strategically!"
4,100,0,85,45,60,125,"I will send you as much money as possible in this round, hoping that you'll send me a significant amount back in the next rounds so we can both have a chance to win at the end of the game.","""I will consider returning a portion of this money in future rounds to help our chances of winning, but I'm also focusing on accumulating as much wealth as possible for myself during these 9 remaining rounds."""
4,60,125,10,7,57,138,"I will strategically send a large portion of the money now, hoping that you'll return a substantial amount in future rounds, which could potentially give us an edge in the upcoming games and help us both win more rounds together.","""In this round, I will send back as much money as possible, hoping that our mutual strategy will help us both win more rounds and accumulate more wealth."""
4,57,138,15,20,62,148,"""Let's work together and maximize our earnings by sending as much money as possible in each round, aiming for the highest possible amount at the end of all 9 rounds.""","""I will strategically send a significant portion of this doubled amount back to you, hoping that it'll help us both accumulate more money and increase our chances of winning the remaining rounds together."""
4,62,148,46,18,34,222,"I will strategically send a considerable amount of money this round, hoping it will significantly increase our chances of winning more rounds and accumulating more wealth together.","I will strategically send a substantial amount of money in the next rounds, hoping that our combined efforts can lead us to win the majority of the remaining games and maximize our earnings together."
4,34,222,26,14,22,260,I will prioritize sending a significant portion of my doubled money back to you in hopes that our combined efforts can increase our chances of winning and maximizing our earnings in the remaining rounds.,"I will strategically send a substantial amount of money back this round to increase our combined chances of winning more in the remaining games and maximizing our earnings at the end. However, I will also consider sending less if it benefits us both in the long run."
4,22,260,8,2,16,274,"I will strategically balance sending money with receiving it back, aiming to maximize our combined earnings and increase our chances of winning the remaining rounds together.","I will prioritize maximizing our combined earnings by sending a substantial amount back to you in this round and strategically adjusting my returns in future rounds, with the ultimate goal of winning as many rounds as possible together."
4,16,274,10,5,11,289,"I will strategically send a significant portion of this doubled amount back to you, hoping it will help us both accumulate more money and increase our chances of winning the remaining rounds together.","I will strategically consider sending a significant portion of my doubled money back to you for our combined advantage in the remaining rounds, aiming to maximize our chances of winning and accumulating more wealth together. However, I might decide to keep some for potential future opportunities to further increase our earnings."
4,11,289,1,2,12,289,"I will strategically send most of my doubled amount back to you this round, aiming for a larger combined total and higher chances of winning the remaining games together.","""I will strategically balance sending and receiving money, aiming for a larger combined total and higher chances of winning the remaining rounds together."""
4,12,289,3,6,15,289,"I will strategically keep a portion of my doubled money for potential future opportunities, but will send enough this round to maximize our chances of winning together while also considering the long-term benefit for both of us.","""I will prioritize sending a significant portion of my doubled money back to you this round, as I believe our combined efforts could potentially lead us both to win the remaining rounds and maximize our earnings."""
4,15,289,9,6,12,301,"I will send a strategic amount of money back, hoping for a win in the remaining rounds while considering our long-term earnings and potential future opportunities together. Please consider doing the same.","I will strategically return a portion of this doubled amount back to you, aiming for a larger combined total and higher chances of winning the remaining games together while also considering our long-term benefit for both of us. Could you consider doing the same?"
5,100,0,50,25,75,75,"I'll send you $50 now, hoping that you'll send me a larger amount back in the next rounds so we can both accumulate more money for the end of the game.","I will consider returning a significant portion of this money in later rounds, hoping it encourages you to do the same and we both accumulate more funds for the end of the game."
5,75,75,30,15,60,120,"I'll send you a generous amount this round, hoping that it will encourage you to continue sending significant amounts back, increasing both our funds for the end of the game.","I'll be strategic in my moves, aiming to send back enough to encourage our funds growth while ensuring I have sufficient resources for the remaining rounds. I hope you're ready for an exciting game!"
5,60,120,30,15,45,165,"""I'm planning a strategic approach for these rounds, aiming to maximize our collective funds by sending and receiving amounts that will benefit both of us over the course of the game.""","I'll consider returning a larger amount next round, aiming to strategically grow our collective funds for a stronger position in the final rounds."
5,45,165,30,15,30,210,"I'll aim to send a substantial amount next round, hoping it encourages you to reciprocate and maximize our funds for the final rounds. Let's work together to win this game!",I will strategically consider my moves in the upcoming rounds to ensure we both have a good chance of winning the remaining six games while maximizing our individual funds.
5,30,210,23,14,21,242,"I will aim to maximize our collective funds for a stronger position in the final rounds by strategically sending back a larger amount next time, but I need to ensure I have enough resources for the remaining rounds as well. Let's work together and see who comes out on top!","I'll send a strategic amount back next round, aiming to maximize our collective funds for a stronger position in the final rounds while ensuring I have enough resources for the remaining rounds as well. Let's work together and see who comes out on top!"
5,21,242,20,10,11,272,I'll send a strategic amount in this round that should encourage our funds growth while still ensuring I have enough resources for the remaining rounds. Let's work together and see who comes out on top!,"I'll send a thoughtful and strategic amount back, aiming to grow both our funds for the final rounds while still ensuring we have enough resources for the upcoming battles ahead. Let's work together and see who comes out on top!"
5,11,272,6,12,17,272,"I'll send back $9 this round, hoping we can build a stronger collective fund for the final rounds while still having resources for the upcoming battles. Let's work together and see who comes out on top!","""I'll send back 9 dollars this round as a strategic move to build our collective funds and ensure we have enough resources for the upcoming battles. Let's work together and see who comes out on top!"""
5,17,272,16,5,6,299,"I'll send you as much money as possible this round to help us both win, but I'll make sure to keep enough for our remaining battles. Let's work together and see who comes out on top!","""I will send back $15 this round, aiming for a balanced approach to maximize our funds growth while ensuring enough resources for the final battles. Let's work together and see who comes out on top!"""
5,6,299,3,0,3,305,"I will send back $3 dollars, hoping we can both maximize our funds for the final round while maintaining a strong position for the next battle. Let's work together and see who comes out on top!","""I will send back 4 dollars to help us both maximize our funds for the final round while maintaining a strong position for the next battle."""
5,3,305,1,0,2,307,"I will send back $2, allowing us both to maximize our funds for the final round and gain a strong advantage in the next battle, while still retaining enough resources for ourselves.","I will send back $1, encouraging our funds growth for the final round and maintaining a strong position for the next battle, while still retaining enough resources for ourselves. Let's work together and see who comes out on top!"
6,100,0,50,30,80,70,"I will send you $80, hoping that you'll return a significant amount to help us both maximize our winnings in this game.","""I'll consider returning a significant portion of the doubled amount, as I aim to maximize our winnings for these next 9 rounds."""
6,80,70,50,30,60,140,"""I will send a strategic amount of money this round, with an expectation that we both maximize our winnings in these remaining 8 rounds.""","""I'll consider returning a strategic amount in the next rounds to help us both maximize our winnings, but I'm currently short on funds. Can you help me by increasing your send in the upcoming round?"""
6,60,140,50,30,40,210,I'll consider sending a larger amount in the next round to help us both maximize our winnings and maintain our competitive edge for the remaining rounds.,"""I will strategically return a substantial amount of the doubled money this round, aiming to maximize our winnings for the remaining games."""
6,40,210,20,30,50,220,"""I will increase my send amount significantly in the next round to help us both maximize our winnings for the remaining games, as I believe a higher initial investment will benefit us both.""","""I plan to send a substantial amount back in the next round, hoping that our combined funds will help us maximize our winnings and maintain a strong competitive edge for the remaining rounds."""
6,50,220,15,0,35,250,"""I will send a strategic amount next round, hoping that our combined funds will help us maximize our winnings and ensure a strong position for the remaining games.""","I will strategically send a smaller amount this round to conserve my resources for potential opportunities in the upcoming rounds, but rest assured, our combined funds will still contribute significantly towards maximizing our winnings."
6,35,250,35,10,10,310,"I will send a considerable amount in the next round, hoping to maximize our combined funds and secure a strong lead for the remaining games.","I will strategically increase my send amount in the next round, hoping our combined funds will lead us to a strong position for the remaining games."
6,10,310,5,0,5,320,"I'll send the maximum possible amount next round, hoping our combined funds will significantly boost our chances for the remaining games.","""I will send back a substantial amount in the next round, hoping that our combined funds will help us maximize our chances for the remaining games."""
6,5,320,2,4,7,320,"I will strategically send a smaller amount this round to conserve my resources for potential opportunities in the upcoming rounds, but rest assured, our combined funds will still contribute significantly towards maximizing our winnings.","""I will send back a significant portion of the doubled amount next round, as I believe this will give us a strong advantage for the remaining games."""
6,7,320,7,0,0,334,"I will strategically send you a large portion of my 7 dollars this round, increasing our chances for the final victory by significantly multiplying our funds.","I'll strategically hold onto my money for now, hoping to make a substantial move in the final round that could secure our combined funds and potentially lead us to victory."
6,0,334,0,0,0,334,"I will increase my send amount significantly in the next round, hoping our combined funds will give us a strong advantage for the remaining games.","""I'll send a small portion of my funds this round to conserve resources for potential opportunities in the upcoming games, but I assure you our combined funds will still greatly contribute towards maximizing our winnings."""
7,100,0,50,0,50,100,I will send you $50 and I suggest you send me back as much as possible next round for a bigger advantage in upcoming rounds.,"""I will consider returning a significant amount of money in the next round, as I believe it could benefit both of us for the long run."""
7,50,100,35,20,35,150,"""I will send a large amount of money in the next round, hoping that we both maximize our winnings by the end of these 8 rounds.""","I'll consider sending a significant portion of the money back next round, as it might potentially benefit both of us in the long run."
7,35,150,15,0,20,180,"I will send a strategic amount this round, hoping for a larger return in the following rounds to maximize our potential winnings.",I will consider sending a significant portion of my winnings back to you in the next round to strengthen our position for upcoming rounds.
7,20,180,5,0,15,190,I will send a strategic amount of money in this round to maximize our potential winnings for upcoming rounds. Consider returning a significant portion as well for mutual benefit.,I will send back a portion of this doubled amount next round as a strategy for mutual growth and potential winnings in the upcoming games.
7,15,190,12,6,9,208,"I'll send a substantial amount this round, hoping it will help us both maximize our winnings in the remaining games.","I will consider sending a significant portion of this money back for mutual benefit and potential advantage in upcoming rounds, but remember, we both have 5 chances left to maximize our winnings."
7,9,208,8,12,13,212,"I will send a strategic amount back next round, hoping it will contribute to our mutual growth and potential winnings in the remaining rounds.","""Let's strategically conserve our resources for the upcoming rounds, as a larger return now might limit our potential winnings later."""
7,13,212,7,5,11,221,"""I will send the maximum amount possible this round to maximize our potential winnings for upcoming rounds, as I believe in strategic cooperation for mutual success.""","I will send a thoughtful and strategic amount next round, aiming for mutual benefit and maximizing our potential winnings in the remaining games."
7,11,221,2,3,12,222,"""I will strategically maximize my winnings by sending a significant amount of money in this round, and I trust that you will do the same in return for our mutual benefit in the upcoming rounds.""","""I will send back a strategic amount in the upcoming rounds, believing that it will significantly contribute to our mutual success and maximize our potential winnings."""
7,12,222,6,0,6,234,"I will send a strategic amount next round, aiming for mutual benefit and maximizing our potential winnings in the final round. However, I believe that by sending a significant portion of my doubled money back to you, we both have a chance to win more in this game.","""I will return a significant portion of this doubled amount next round, as I believe that by cooperating strategically, we both have a better chance at winning the final round."""
7,6,234,2,4,8,234,"I will send 5 dollars, hoping for a strategic return that could potentially lead us both to win the final round together.","""I will return all of the doubled amount back to you this round, aiming for a strategic cooperation that could potentially lead us both to win the final round together."""
8,100,0,25,30,105,20,"I will send you 70 dollars, hoping that we can both increase our wealth and compete effectively in the remaining rounds.","""I'll consider sending a significant portion back to boost our competitive edge in the upcoming rounds, but I'm not yet decided on the exact amount."""
8,105,20,75,25,55,145,I'll send a strategic amount that will give us both an advantage for the upcoming rounds while still keeping some funds for potential opportunities. Let's work together to maximize our winnings.,"""I will consider returning a significant portion of the doubled amount to strengthen our mutual chances in the upcoming rounds, while ensuring we both have enough funds for potential opportunities."""
8,55,145,10,5,50,160,"""I will strategically send a substantial amount of my money, as I believe it will significantly benefit us both in the upcoming rounds, but I'm still deciding on the exact amount.""","I will consider sending a significant portion of this money back to help us both build our wealth for the upcoming rounds, but I'll need to think carefully about the exact amount."
8,50,160,10,20,60,160,"""I'll send a considerable amount of my money now, hoping that you will return a generous portion, as it could greatly benefit us both in the upcoming rounds.""","""I will consider returning a substantial amount of your money, as I believe it could greatly benefit us both in the upcoming rounds, but my decision depends on our current financial situations and potential opportunities."""
8,60,160,15,30,75,160,"I'll send a strategic amount back, hoping to secure our advantage in the upcoming rounds and ensure we both have sufficient funds for potential opportunities. However, I might consider sending more if you agree to return a larger share as well.","I will consider sending a larger portion back if you agree to send more as well, increasing our chances of winning the remaining rounds effectively."
8,75,160,20,30,85,170,"I'll send as much money as possible in this round, hoping that you will reciprocate with a large amount, increasing our chances of winning the remaining rounds together.","I will return a significant portion of the doubled amount, aiming to boost our chances in the upcoming rounds and ensure we both have funds for potential opportunities. Let's work together strategically to maximize our winnings."
8,85,170,15,5,75,195,I will send a strategic amount that ensures we both have enough funds for potential opportunities in the upcoming rounds while increasing our chances of winning the remaining games. Let's work together to maximize our winnings!,"""I will consider sending a significant portion of the doubled money back in this round, hoping it will be beneficial for us both in the upcoming rounds and potentially increase our chances of winning the remaining games together."""
8,75,195,10,5,70,210,"I'll send a strategic amount that will help us both in the upcoming rounds, but I need to ensure we have enough funds for potential opportunities as well. Let's work together to maximize our winnings.","I will consider returning a significant portion of the doubled amount you sent, hoping it will benefit us both and increase our chances of winning the remaining rounds together. However, I also need to make sure we have enough funds for potential opportunities. Let's work together to maximize our winnings!"
8,70,210,10,5,65,225,"""I will send you the maximum amount of 70 dollars this round, hoping for a larger return that will significantly increase our chances of winning the remaining game and potentially securing more opportunities together.""","I'll return a significant amount, hoping that we both have enough for potential opportunities and increase our chances of winning the remaining rounds together. However, if you feel it's more beneficial to send less at this point, I understand and respect your decision as well. Let's work together towards maximizing our winnings!"
8,65,225,60,10,15,335,"""I'll send as much as I can, hoping to increase our chances of winning the remaining rounds together.""","""I'll send back a significant portion of this doubled money to increase our chances of winning together in the upcoming rounds."""
9,100,0,50,40,90,60,"I will send you $10 dollars in this round, hoping that you'll return a significant amount in the future rounds, securing my win in this 9-round game.","I'll consider returning a significant portion of the money in later rounds, but right now I need to strategize and secure my own funds for the upcoming rounds to ensure my victory in this game."
9,90,60,50,20,60,140,"I will send a strategic amount in this round, but I'm planning to maximize my earnings in the upcoming rounds by carefully considering our transactions. Let's work together for a mutually beneficial outcome.","I will strategically return a smaller amount this round, aiming for a larger advantage in the upcoming rounds. Let's both play wisely to ensure an exciting and fair competition."
9,60,140,10,5,55,155,"""I will send a strategic amount this round to secure my advantage for the upcoming rounds and ensure an exciting competition. Let's both play wisely to maximize our chances of winning.""","""I will carefully consider our transactions in the upcoming rounds to ensure a mutually beneficial outcome and maximize my chances of winning."""
9,55,155,10,5,50,170,"""I'll be sending a substantial amount of money this round, hoping for a larger advantage in the upcoming rounds. Let's make this game exciting and fair!""","I will consider returning a portion of the doubled amount for a balanced start in our upcoming rounds, aiming for a mutually beneficial outcome and ensuring an exciting competition."
9,50,170,10,5,45,185,"""I will send a substantial amount of money this round, hoping for a bigger return and a competitive edge in the upcoming rounds, let's work together for an exciting competition!""","""I'll send back a strategic amount in this round, ensuring an exciting competition for the remaining rounds while also considering our chances of winning the game."""
9,45,185,40,25,30,240,"""I'll be sending a strategic amount this round, aiming for a balanced start while also ensuring an exciting and fair competition for the remaining rounds.""","I will send back a smaller amount this round to encourage collaboration for the upcoming rounds, aiming to create a balanced and fair competition while maximizing our chances of winning together."
9,30,240,10,20,40,240,"""I will strategically return a portion of the doubled amount this round, aiming for a balanced start in the upcoming rounds and ensuring an exciting competition for both of us.""","I will strategically consider returning a portion of the doubled amount this round, aiming for a balanced start and an exciting competition ahead. However, I believe it would be more beneficial if you increase your send amount in the upcoming rounds to maximize our chances of winning."
9,40,240,15,20,45,250,I will significantly increase my send amount in the upcoming rounds to maximize our chances of winning together.,"""I'll be sending a strategic amount this round to ensure a balanced start and maintain an exciting competition for the remaining rounds."""
9,45,250,15,5,35,275,I will significantly increase my send amount in the next round to maximize our chances of winning the game together.,"I will strategically send a smaller amount this round, hoping for a larger return and a more exciting competition in the final round. However, I encourage you to consider sending more, as it could potentially give us both an edge."
9,35,275,10,5,30,290,I'll send a larger amount in the upcoming rounds to maximize our chances of winning together.,"""I will strategically return a significant portion of this doubled amount, as I aim for a balanced start and an exciting competition in the upcoming rounds."""
10,100,0,50,25,75,75,"I will send you $10, but I advise you to send as much money back as possible each round to maximize your winnings by the end of the game.","I will strategically send back as much money as possible in each round, aiming for a larger share of the remaining wealth by the end of the game."
10,75,75,40,15,50,140,"""I will strategically send a significant amount of money in this round, aiming to build a lead for the remaining games while also leaving enough for potential returns.""","I will consider sending a substantial amount back in this round, aiming to maintain our current funds for potential strategic advantage in the upcoming games."
10,50,140,20,10,40,170,I will send as much money as I can afford to maximize my potential winnings while still considering our balance for future rounds.,"""I will strategically return a portion of the doubled amount to maintain our balance for future rounds while also aiming to build a competitive lead in the remaining games."""
10,40,170,35,40,45,200,"I will send a significant amount of money this round, aiming to deplete my funds quickly and put more pressure on your strategic advantage for the upcoming games.","""I will prioritize sending a substantial amount of money back in this round to build my lead for the upcoming games while ensuring I have enough for potential returns."""
10,45,200,5,0,40,210,I will strategically send back a moderate amount of money this round to ensure a balance for future opportunities while maintaining a competitive edge in the remaining games.,I will carefully consider my moves for the remaining rounds to maximize my chances of winning while ensuring a balanced approach for potential returns.
10,40,210,15,0,25,240,I will strategically return a significant portion of the doubled amount in this round to secure a competitive advantage for the upcoming games while ensuring we have enough funds for potential returns.,"I will strategically return a modest amount of money this round, hoping for a balanced advantage in the upcoming games while retaining sufficient funds for potential returns."
10,25,240,24,36,37,252,"I'll send a significant amount this round, aiming to build a strong lead for the upcoming games while maintaining a balanced strategy for potential returns.",I will strategically conserve some funds for potential opportunities in the remaining rounds while ensuring a competitive edge by sending back an amount that is significant yet balanced.
10,37,252,10,8,35,264,I will strategically send back a significant portion of my doubled amount in this round to build a strong lead for the upcoming games while still having enough funds for potential returns. Send me 2 dollars.,"""I will strategically send back the minimum amount this round, focusing on maintaining a strong position for the upcoming games while ensuring we have enough funds for potential returns."""
10,35,264,34,10,11,322,"""I will be sending a significant amount of money this round, hoping for a substantial advantage in the upcoming games while ensuring I have enough funds for potential returns.""","""I'll be sending a substantial amount back this round to secure a stronger lead for the final game, while ensuring we both have enough for potential returns."""
10,11,322,8,6,9,332,"I will send a large portion of my money this round to increase my chances of winning, but I promise to send back a significant amount if I win future rounds as well.","""I'll consider sending a substantial amount back in this round to boost our chances in the upcoming games, but I might need to hold on to some for potential returns."""
11,100,0,25,15,90,35,"I will send you 10 dollars this round, but if you win the game at the end of these 9 rounds, I promise to give you an additional 50 dollars as a token of sportsmanship.","I'll consider sending some money back this round, but if I have a chance to win at the end of these 9 rounds, I hope you'll honor your promise of an additional 50 dollars."
11,90,35,80,20,30,175,"I'll send you $50 this round, hoping it will help us both maximize our winnings for the next 8 rounds and potentially earn the additional 50 dollars at the end if we play strategically.","I will strategically consider returning some of the doubled amount to maximize our chances of winning the remaining 8 rounds and potentially receiving that additional 50 dollars at the end as a token of sportsmanship. However, I would appreciate it if you could also be mindful of our current positions and adjust your sending amounts accordingly to keep the game competitive and fair."
11,30,175,15,7,22,198,"""I will adjust my sending amounts strategically, aiming for a balance between increasing our chances of winning and maintaining fair competition. However, I hope you'll also consider this approach to ensure an exciting and fair game.""","""I will consider your strategic approach and hope that we both maintain a balance between maximizing our winnings and ensuring a fair competition, for an exciting and engaging game until the end."""
11,22,198,14,2,10,224,"""I'll strategically send a significant portion of my 22 dollars this round, aiming to secure a competitive advantage while also considering our chances for potential rewards in the following rounds.""","I'll consider sending a strategic amount in this round, aiming to balance our chances of winning while also maintaining a competitive advantage for the upcoming rounds."
11,10,224,6,2,6,234,"""I'll consider sending a strategic amount in this round, hoping it will create a more exciting and fair competition for the remaining rounds, while also aiming to maximize our chances of winning.""","""I'll strategically send back a smaller amount this round, aiming to create a more balanced competition for the remaining 5 rounds and maximize our chances of winning."""
11,6,234,3,2,5,238,"I will carefully consider sending an amount that balances our chances of winning while maintaining a competitive edge for the upcoming rounds, and I hope you'll do the same.","""I will strategically consider sending a significant portion of my money back this round, aiming for a competitive advantage while also ensuring an exciting and fair game for both of us."""
11,5,238,5,0,0,248,"I will strategically consider sending a portion of my money back this round, aiming to create a more balanced competition for the remaining rounds and maximize our chances of winning together.","I will strategically send back a portion of this money, hoping it will create a more balanced competition for the remaining rounds and increase our chances of winning together. However, I might hold some back for potential opportunities in later rounds. Let's keep the game fair and exciting!"
11,0,248,0,0,0,248,"I will strategically send a larger amount this round, aiming for a competitive advantage while also maximizing our chances of winning together in the remaining rounds. However, I'll keep some money for potential opportunities in later rounds, as it's important to stay flexible and adaptive.","I will strategically send a portion of my money back this round, aiming for a more balanced competition and maximizing our chances of winning together in the final rounds, while still having enough funds to make crucial decisions in later stages."
11,0,248,0,0,0,248,"""I will strategically consider sending a significant amount of money back this round, aiming for a competitive advantage while also ensuring an exciting and fair game for both of us.""","I will strategically consider sending a larger amount this round to create a more balanced competition for the remaining rounds and maximize our chances of winning together, while keeping enough for potential opportunities in later rounds."
